TIME,CH2,Model,TBS2074B
-1.06E+00,-0.0012,,
-1.05E+00,-0.0004,,
-1.04E+00,0,,
-1.03E+00,-0.0008,,
-1.02E+00,0,,
-1.02E+00,-0.0012,,
-1.01E+00,-0.0004,,
-1.00E+00,0,,
-9.92E-01,0,,
-9.84E-01,-0.0012,,
-9.76E-01,-0.0004,,
-9.68E-01,0.0004,,
-9.60E-01,-0.0008,,
-9.52E-01,-0.0012,,
-9.44E-01,0.0008,,
-9.36E-01,-0.0004,,
-9.28E-01,-0.0008,,
-9.20E-01,0,,
-9.12E-01,0,,
-9.04E-01,-0.0012,,
-8.96E-01,0.0008,,
-8.88E-01,-0.0004,,
-8.80E-01,-0.0004,,
-8.72E-01,-0.0004,,
-8.64E-01,0.0004,,
-8.56E-01,0.0004,,
-8.48E-01,-0.0012,,
-8.40E-01,-0.0004,,
-8.32E-01,-0.0004,,
-8.24E-01,0,,
-8.16E-01,0,,
-8.08E-01,0.0004,,
-8.00E-01,0,,
-7.92E-01,0.0008,,
-7.84E-01,0.0004,,
-7.76E-01,-0.0004,,
-7.68E-01,-0.0008,,
-7.60E-01,-0.0004,,
-7.52E-01,-0.0004,,
-7.44E-01,-0.0012,,
-7.36E-01,-0.0008,,
-7.28E-01,-0.004,,
-7.20E-01,-0.0116,,
-7.12E-01,0.0008,,
-7.04E-01,0.0136,,
-6.96E-01,0.0056,,
-6.88E-01,-0.012,,
-6.80E-01,-0.002,,
-6.72E-01,0.0144,,
-6.64E-01,0.0132,,
-6.56E-01,-0.0016,,
-6.48E-01,-0.0112,,
-6.40E-01,-0.0108,,
-6.32E-01,-0.0048,,
-6.24E-01,0.004,,
-6.16E-01,0.006,,
-6.08E-01,0.004,,
-6.00E-01,-0.01,,
-5.92E-01,0.0048,,
-5.84E-01,0.002,,
-5.76E-01,-0.012,,
-5.68E-01,-0.0188,,
-5.60E-01,0.0152,,
-5.52E-01,-0.0108,,
-5.44E-01,-0.0036,,
-5.36E-01,0.012,,
-5.28E-01,-0.028,,
-5.20E-01,0.0144,,
-5.12E-01,-0.0116,,
-5.04E-01,0.0052,,
-4.96E-01,-0.0208,,
-4.88E-01,0.0024,,
-4.80E-01,0.0228,,
-4.72E-01,-0.018,,
-4.64E-01,0,,
-4.56E-01,-0.002,,
-4.48E-01,-0.0032,,
-4.40E-01,0,,
-4.32E-01,0.0008,,
-4.24E-01,0,,
-4.16E-01,0,,
-4.08E-01,-0.002,,
-4.00E-01,-0.0012,,
-3.92E-01,0.0004,,
-3.84E-01,-0.0028,,
-3.76E-01,0,,
-3.68E-01,-0.0012,,
-3.60E-01,-0.0004,,
-3.52E-01,0.0012,,
-3.44E-01,0.0004,,
