"Sample Rate
[Hz]",Frame Length [ms],Watermark Strength [%],Watermark Detection [yes/no],"Detect Distortion
[yes/no]",Notes
8000,20,5,no,no,"Decoded message: ""�tbr4"" (bytes: [230, 7, 116, 98, 114, 52])"
8000,20,15,no,no,"Decoded message: ""fourr4"" (bytes: [102, 111, 117, 114, 114, 52])"
8000,20,30,no,no,"Decoded message: ""fourr4"" (bytes: [102, 111, 117, 114, 114, 52])"
8000,20,50,no,yes,"Decoded message: ""fourr4"" (bytes: [102, 111, 117, 114, 114, 52])"
8000,32,5,no,no,"Decoded message: ""@i@"" (bytes: [0, 64, 0, 0, 0, 105, 64, 0])"
8000,32,15,no,no,"Decoded message: ""fH5prieR"" (bytes: [102, 72, 53, 112, 114, 105, 101, 82])"
8000,32,30,no,no,"Decoded message: ""fmurrier"" (bytes: [102, 109, 117, 114, 114, 105, 101, 114])"
8000,32,50,yes,yes,"Decoded message: ""fourrier"" (bytes: [102, 111, 117, 114, 114, 105, 101, 114])"
8000,64,5,no,no,"Decoded message: """" (bytes: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])"
8000,64,15,no,no,"Decoded message: """" (bytes: [0, 0, 0, 0, 0, 0, 0, 0])"
8000,64,30,no,no,"Decoded message: ""@eb"" (bytes: [64, 0, 0, 2, 2, 1, 101, 98])"
8000,64,50,no,yes,"Decoded message: ""`rRier"" (bytes: [96, 14, 4, 114, 82, 105, 101, 114])"
16000,20,5,no,no,"Decoded message: ""`"" (bytes: [0, 3, 96, 0, 0, 0, 0, 0])"
16000,20,15,no,no,"Decoded message: ""``ridr"" (bytes: [96, 3, 96, 2, 114, 105, 100, 114])"
16000,20,30,no,no,"Decoded message: ""ftrrier"" (bytes: [102, 7, 116, 114, 114, 105, 101, 114])"
16000,20,50,yes,yes,"Decoded message: ""fourrier"" (bytes: [102, 111, 117, 114, 114, 105, 101, 114])"
16000,32,5,no,no,"Decoded message: """" (bytes: [])"
16000,32,15,no,no,"Decoded message: """" (bytes: [])"
16000,32,30,no,no,"Decoded message: "" "" (bytes: [0, 0, 0, 0, 0, 9, 0, 0])"
16000,32,50,no,yes,"Decoded message: ""bid"" (bytes: [98, 0, 0, 0, 2, 105, 100, 0])"
16000,64,5,no,no,"Decoded message: """" (bytes: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])"
16000,64,15,no,no,"Decoded message: """" (bytes: [0, 0, 0, 0, 0, 0, 0, 0])"
16000,64,30,no,no,"Decoded message: ""@eb"" (bytes: [64, 0, 0, 2, 2, 1, 101, 98])"
16000,64,50,no,yes,"Decoded message: ""`rRier"" (bytes: [96, 14, 20, 114, 82, 105, 101, 114])"
32000,20,5,no,no,"Decoded message: """" (bytes: [0, 0, 0, 0, 0, 0, 0, 0])"
32000,20,15,no,no,"Decoded message: """" (bytes: [0, 0, 0, 0, 0, 0, 0, 0])"
32000,20,30,no,no,"Decoded message: ""`RH"" (bytes: [96, 2, 0, 2, 82, 72, 4, 0])"
32000,20,50,no,yes,"Decoded message: ""fprier"" (bytes: [102, 7, 112, 2, 114, 105, 101, 114])"
32000,32,5,no,no,"Decoded message: """" (bytes: [])"
32000,32,15,no,no,"Decoded message: """" (bytes: [])"
32000,32,30,no,no,"Decoded message: """" (bytes: [0, 0, 0, 0, 0, 1, 0, 0])"
32000,32,50,no,no,"Decoded message: ""bid"" (bytes: [98, 0, 0, 0, 2, 105, 100, 0])"
32000,64,5,no,no,"Decoded message: """" (bytes: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])"
32000,64,15,no,no,"Decoded message: """" (bytes: [0, 0, 0, 0, 0, 0, 0, 0])"
32000,64,30,no,no,"Decoded message: ""@ab"" (bytes: [64, 0, 0, 2, 2, 1, 97, 98])"
32000,64,50,no,yes,"Decoded message: ""`rRier"" (bytes: [96, 14, 5, 114, 82, 105, 101, 114])"
48000,20,5,no,no,"Decoded message: """" (bytes: [0, 0, 0, 0, 0, 0, 0, 0])"
48000,20,15,no,no,"Decoded message: """" (bytes: [0, 0, 0, 0, 0, 0, 0, 0])"
48000,20,30,no,no,"Decoded message: ""`RH"" (bytes: [96, 0, 0, 2, 82, 72, 4, 0])"
48000,20,50,no,yes,"Decoded message: ""fprier"" (bytes: [102, 7, 112, 2, 114, 105, 101, 114])"
