Sample Rate [Hz],Frame Length [ms],Watermark Strength [%],n_trials,exact_match_rate_%,mean_lev,median_lev,mean_char_acc_%,best_lev,best_decoded_example,best_row_index,n_trials_clean,exact_match_rate_%_clean,mean_lev_clean,median_lev_clean,mean_char_acc_%_clean,best_lev_clean,best_decoded_example_clean,best_row_index_clean,n_trials_detected,exact_match_rate_%_detected,mean_lev_detected,median_lev_detected,mean_char_acc_%_detected,best_lev_detected,best_decoded_example_detected,best_row_index_detected
8000,32,50,1,100.0,0.0,0.0,100.0,0.0,fourrier,7,0,,,,,,,,1,100.0,0.0,0.0,100.0,0.0,fourrier,7
16000,20,50,1,100.0,0.0,0.0,100.0,0.0,fourrier,15,0,,,,,,,,1,100.0,0.0,0.0,100.0,0.0,fourrier,15
8000,32,30,1,0.0,1.0,1.0,87.5,1.0,fmurrier,6,1,0.0,1.0,1.0,87.5,1.0,fmurrier,6,0,,,,,,,
16000,20,30,1,0.0,2.0,2.0,75.0,2.0,ftrrier,14,1,0.0,2.0,2.0,75.0,2.0,ftrrier,14,0,,,,,,,
8000,20,15,1,0.0,3.0,3.0,62.5,3.0,fourr4,1,1,0.0,3.0,3.0,62.5,3.0,fourr4,1,0,,,,,,,
8000,20,30,1,0.0,3.0,3.0,62.5,3.0,fourr4,2,1,0.0,3.0,3.0,62.5,3.0,fourr4,2,0,,,,,,,
8000,20,50,1,0.0,3.0,3.0,62.5,3.0,fourr4,3,0,,,,,,,,0,,,,,,,
32000,20,50,1,0.0,3.0,3.0,62.5,3.0,fprier,27,0,,,,,,,,0,,,,,,,
48000,20,50,1,0.0,3.0,3.0,62.5,3.0,fprier,39,0,,,,,,,,0,,,,,,,
8000,32,15,1,0.0,4.0,4.0,50.0,4.0,fH5prieR,5,1,0.0,4.0,4.0,50.0,4.0,fH5prieR,5,0,,,,,,,
8000,64,50,1,0.0,4.0,4.0,50.0,4.0,`rRier,11,0,,,,,,,,0,,,,,,,
16000,64,50,1,0.0,4.0,4.0,50.0,4.0,`rRier,23,0,,,,,,,,0,,,,,,,
32000,64,50,1,0.0,4.0,4.0,50.0,4.0,`rRier,35,0,,,,,,,,0,,,,,,,
16000,20,15,1,0.0,5.0,5.0,37.5,5.0,``ridr,13,1,0.0,5.0,5.0,37.5,5.0,``ridr,13,0,,,,,,,
48000,64,50,1,0.0,5.0,5.0,37.5,5.0,`bRier,47,0,,,,,,,,0,,,,,,,
8000,20,5,1,0.0,7.0,7.0,12.5,7.0,�tbr4,0,1,0.0,7.0,7.0,12.5,7.0,�tbr4,0,0,,,,,,,
8000,32,5,1,0.0,7.0,7.0,12.5,7.0,@i@,4,1,0.0,7.0,7.0,12.5,7.0,@i@,4,0,,,,,,,
8000,64,30,1,0.0,7.0,7.0,12.5,7.0,@eb,10,1,0.0,7.0,7.0,12.5,7.0,@eb,10,0,,,,,,,
16000,32,50,1,0.0,7.0,7.0,12.5,7.0,bid,19,0,,,,,,,,0,,,,,,,
16000,64,30,1,0.0,7.0,7.0,12.5,7.0,@eb,22,1,0.0,7.0,7.0,12.5,7.0,@eb,22,0,,,,,,,
32000,32,50,1,0.0,7.0,7.0,12.5,7.0,bid,31,1,0.0,7.0,7.0,12.5,7.0,bid,31,0,,,,,,,
48000,32,50,1,0.0,7.0,7.0,12.5,7.0,bid,43,0,,,,,,,,0,,,,,,,
48000,64,30,1,0.0,7.0,7.0,12.5,7.0,@eb,46,1,0.0,7.0,7.0,12.5,7.0,@eb,46,0,,,,,,,
8000,64,5,1,0.0,8.0,8.0,0.0,8.0,,8,1,0.0,8.0,8.0,0.0,8.0,,8,0,,,,,,,
8000,64,15,1,0.0,8.0,8.0,0.0,8.0,,9,1,0.0,8.0,8.0,0.0,8.0,,9,0,,,,,,,
16000,20,5,1,0.0,8.0,8.0,0.0,8.0,`,12,1,0.0,8.0,8.0,0.0,8.0,`,12,0,,,,,,,
16000,32,5,1,0.0,8.0,8.0,0.0,8.0,,16,1,0.0,8.0,8.0,0.0,8.0,,16,0,,,,,,,
16000,32,15,1,0.0,8.0,8.0,0.0,8.0,,17,1,0.0,8.0,8.0,0.0,8.0,,17,0,,,,,,,
16000,32,30,1,0.0,8.0,8.0,0.0,8.0,,18,1,0.0,8.0,8.0,0.0,8.0,,18,0,,,,,,,
16000,64,5,1,0.0,8.0,8.0,0.0,8.0,,20,1,0.0,8.0,8.0,0.0,8.0,,20,0,,,,,,,
16000,64,15,1,0.0,8.0,8.0,0.0,8.0,,21,1,0.0,8.0,8.0,0.0,8.0,,21,0,,,,,,,
32000,20,5,1,0.0,8.0,8.0,0.0,8.0,,24,1,0.0,8.0,8.0,0.0,8.0,,24,0,,,,,,,
32000,20,15,1,0.0,8.0,8.0,0.0,8.0,,25,1,0.0,8.0,8.0,0.0,8.0,,25,0,,,,,,,
32000,20,30,1,0.0,8.0,8.0,0.0,8.0,`RH,26,1,0.0,8.0,8.0,0.0,8.0,`RH,26,0,,,,,,,
32000,32,5,1,0.0,8.0,8.0,0.0,8.0,,28,1,0.0,8.0,8.0,0.0,8.0,,28,0,,,,,,,
32000,32,15,1,0.0,8.0,8.0,0.0,8.0,,29,1,0.0,8.0,8.0,0.0,8.0,,29,0,,,,,,,
32000,32,30,1,0.0,8.0,8.0,0.0,8.0,,30,1,0.0,8.0,8.0,0.0,8.0,,30,0,,,,,,,
32000,64,5,1,0.0,8.0,8.0,0.0,8.0,,32,1,0.0,8.0,8.0,0.0,8.0,,32,0,,,,,,,
32000,64,15,1,0.0,8.0,8.0,0.0,8.0,,33,1,0.0,8.0,8.0,0.0,8.0,,33,0,,,,,,,
32000,64,30,1,0.0,8.0,8.0,0.0,8.0,@ab,34,1,0.0,8.0,8.0,0.0,8.0,@ab,34,0,,,,,,,
48000,20,5,1,0.0,8.0,8.0,0.0,8.0,,36,1,0.0,8.0,8.0,0.0,8.0,,36,0,,,,,,,
48000,20,15,1,0.0,8.0,8.0,0.0,8.0,,37,1,0.0,8.0,8.0,0.0,8.0,,37,0,,,,,,,
48000,20,30,1,0.0,8.0,8.0,0.0,8.0,`RH,38,1,0.0,8.0,8.0,0.0,8.0,`RH,38,0,,,,,,,
48000,32,5,1,0.0,8.0,8.0,0.0,8.0,,40,1,0.0,8.0,8.0,0.0,8.0,,40,0,,,,,,,
48000,32,15,1,0.0,8.0,8.0,0.0,8.0,,41,1,0.0,8.0,8.0,0.0,8.0,,41,0,,,,,,,
48000,32,30,1,0.0,8.0,8.0,0.0,8.0,,42,1,0.0,8.0,8.0,0.0,8.0,,42,0,,,,,,,
48000,64,5,1,0.0,8.0,8.0,0.0,8.0,,44,1,0.0,8.0,8.0,0.0,8.0,,44,0,,,,,,,
48000,64,15,1,0.0,8.0,8.0,0.0,8.0,,45,1,0.0,8.0,8.0,0.0,8.0,,45,0,,,,,,,
